visitor_cbgs,year,month,location_name,latitude,longitude,scaled_visits,visits,travel_distance_km,travel_time_minutes,visits_per_person,median_age,median_income
340030193041,2019,6,Cherry Hill Fountain,40.773559,-73.97345,40.8823529411765,4,17.356,21.1,0.0588235294117647,44.1,91667
340030193041,2019,9,Cherry Hill Fountain,40.773559,-73.97345,36.1038961038961,4,17.356,21.1,0.051948051948052,44.1,91667
340030193041,2019,10,Diana Ross Playground,40.782214,-73.97178,38.6111111111111,4,17.356,21.1,0.0555555555555556,44.1,91667
340030193051,2018,5,Cherry Hill Fountain,40.773559,-73.97345,51.811320754717,4,13.431,17.4166666666667,0.0188679245283019,68,105241
340030193051,2018,8,Diana Ross Playground,40.782214,-73.97178,67.8024691358025,4,13.431,17.4166666666667,0.0246913580246914,68,105241
340030193051,2018,10,Diana Ross Playground,40.782214,-73.97178,62.4090909090909,4,13.431,17.4166666666667,0.0227272727272727,68,105241
340030193051,2019,3,Tarr Coyne Tots Playground,40.773265,-73.977058,279.847133757962,16,13.431,17.4166666666667,0.101910828025478,68,105241
340030193051,2019,6,East 72nd Street Playground,40.772219,-73.967929,255.441860465116,16,13.431,17.4166666666667,0.0930232558139535,68,105241
340030193051,2019,6,Diana Ross Playground,40.782214,-73.97178,63.8604651162791,4,13.431,17.4166666666667,0.0232558139534884,68,105241
340030193051,2019,8,Diana Ross Playground,40.782214,-73.97178,64.233918128655,4,13.431,17.4166666666667,0.0233918128654971,68,105241
340030193051,2019,11,Diana Ross Playground,40.782214,-73.97178,77.3521126760563,4,13.431,17.4166666666667,0.028169014084507,68,105241
340030193052,2018,11,Diana Ross Playground,40.782214,-73.97178,57.8,4,14.415,20.45,0.0285714285714286,60.3,86083
340030193052,2019,8,Central Park,40.780777,-73.961689,220.690909090909,12,14.415,20.45,0.109090909090909,60.3,86083
340030193053,2018,7,Diana Ross Playground,40.782214,-73.97178,36.9633507853403,4,14.307,19.1166666666667,0.0209424083769634,47.4,119375
340030193053,2019,6,Diana Ross Playground,40.782214,-73.97178,51.5328467153285,4,14.307,19.1166666666667,0.0291970802919708,47.4,119375
340030193061,2018,4,Diana Ross Playground,40.782214,-73.97178,39.8627450980392,4,15.206,20.2666666666667,0.0196078431372549,49.6,129700
